[IMPORTS]

DLL: cygwin1.dll
 RVA: 00021404, Hint: 1948(079C), Name: wctype
 RVA: 00021408, Hint: 1949(079D), Name: wcwidth
 RVA: 0002140C, Hint: 1950(079E), Name: wmemchr
 RVA: 00021410, Hint: 1952(07A0), Name: wmemcpy

DLL: cygintl-8.dll
 RVA: 00021418, Hint:   26(001A), Name: libintl_bindtextdomain
 RVA: 0002141C, Hint:   27(001B), Name: libintl_dcgettext
 RVA: 00021420, Hint:   32(0020), Name: libintl_gettext
 RVA: 00021424, Hint:   47(002F), Name: libintl_setlocale
 RVA: 00021428, Hint:   48(0030), Name: libintl_textdomain

DLL: cyggcc_s-1.dll
 RVA: 00021430, Hint:   39(0027), Name: __divdi3
 RVA: 00021434, Hint:   82(0052), Name: __moddi3
 RVA: 00021438, Hint:  117(0075), Name: __udivdi3
 RVA: 0002143C, Hint:  119(0077), Name: __umoddi3

DLL: KERNEL32.dll
 RVA: 00021444, Hint:  356(0164), Name: FreeLibrary
 RVA: 00021448, Hint:  363(016B), Name: GetACP
 RVA: 0002144C, Hint:  533(0215), Name: GetModuleHandleA
 RVA: 00021450, Hint:  581(0245), Name: GetProcAddress
 RVA: 00021454, Hint:  809(0329), Name: LoadLibraryA

